all_sum, biased_avg, skill_min, all_min, c5.symbol, c4.symbol, c3.symbol, c2.symbol, c1.symbol, slot5.cmd_dip, slot5.cmd_eng, slot5.cmd_sec, slot5.cmd_med, slot5.cmd_sci, slot5.dip_eng, slot5.dip_sec, slot5.dip_med, slot5.dip_sci, slot5.eng_sec, slot5.eng_med, slot5.eng_sci, slot5.sec_med, slot5.sec_sci, slot5.med_sci, cmd_dip_nlt, cmd_eng_nlt, cmd_sec_nlt, cmd_med_nlt, cmd_sci_nlt, dip_eng_nlt, dip_sec_nlt, dip_med_nlt, dip_sci_nlt, eng_sec_nlt, eng_med_nlt, eng_sci_nlt, sec_med_nlt, sec_sci_nlt, med_sci_nlt, any_nlt, skill_nlt, sum_cmd_dip, sum_cmd_eng, sum_cmd_sec, sum_cmd_med, sum_cmd_sci, sum_dip_eng, sum_dip_sec, sum_dip_med, sum_dip_sci, sum_eng_sec, sum_eng_med, sum_eng_sci, sum_sec_med, sum_sec_sci, sum_med_sci
4866.775, 320.6975, 228.125, 187.95, "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "duras_sisters_crew", "bashir_changeling_crew", 288.225, 187.95, 403.20000000000005, 228.125, 308.125, 187.95, 458.32500000000005, 228.125, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 272, 261, 0, 272, 210, 504, 0, 504, 0, 0, 0, 0, 0, 0, 0, 2023, 210, 539.475, 592.7, 968.075, 646.0, 608.95, 656.575, 1031.95, 709.875, 672.825, 1085.175, 763.0999999999999, 726.05, 1138.475, 1101.4250000000002, 779.35
4820.6, 318.38875, 228.125, 187.95, "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew", 251.25, 187.95, 321.825, 228.125, 308.125, 231.52500000000003, 372.225, 342.82500000000005, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 469, 261, 214, 272, 210, 0, 214, 272, 0, 0, 0, 0, 0, 0, 0, 1912, 210, 482.77500000000003, 476.15, 705.575, 640.75, 492.4, 716.425, 945.8499999999999, 881.0250000000001, 732.6750000000001, 939.2249999999999, 874.4000000000001, 726.05, 1103.825, 955.475, 890.65
4784.375, 316.5775, 228.125, 187.95, "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "mccoy_rura_pethe_prisoner_crew", "bashir_changeling_crew", 251.25, 187.95, 321.825, 228.125, 308.125, 194.775, 321.825, 393.75, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 469, 261, 214, 272, 210, 425, 398, 0, 0, 0, 0, 0, 0, 0, 0, 2249, 210, 446.025, 476.15, 564.875, 728.4250000000001, 492.4, 679.675, 768.4000000000001, 931.95, 695.925, 798.525, 962.075, 726.05, 1050.8, 814.7750000000001, 978.325
4753.65, 315.04125, 228.125, 187.95, "troi_casualblue_crew", "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "bashir_changeling_crew", 251.25, 187.95, 321.825, 296.1, 308.125, 187.95, 321.825, 301.875, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 469, 261, 214, 0, 210, 504, 398, 425, 0, 0, 0, 0, 0, 0, 0, 2481, 210, 488.025, 591.65, 680.375, 825.5500000000001, 607.9, 606.175, 694.9, 840.075, 622.425, 798.525, 943.6999999999999, 726.05, 1032.425, 814.7750000000001, 959.95
4745.5, 314.63375, 228.125, 187.95, "troi_lwaxana_tng_crew", "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "bashir_changeling_crew", 345.975, 187.95, 321.825, 228.125, 308.125, 226.8, 321.825, 228.125, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 0, 261, 214, 272, 210, 271, 398, 504, 0, 0, 0, 0, 0, 0, 0, 2130, 210, 597.225, 595.325, 684.05, 648.625, 611.575, 711.7, 800.425, 765.0, 727.95, 798.525, 763.0999999999999, 726.05, 851.825, 814.7750000000001, 779.35
4753.375, 311.52374999999995, 228.125, 187.95, "seven_drone_crew", "selar_crew", "mara_tos_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew", 254.1, 187.95, 321.825, 228.125, 323.4, 231.52500000000003, 372.225, 342.82500000000005, 231.52500000000003, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 399, 261, 214, 272, 0, 0, 214, 272, 210, 0, 0, 0, 0, 0, 0, 1842, 210, 485.625, 532.875, 762.3, 697.475, 507.67499999999995, 662.55, 891.9749999999999, 827.1500000000001, 637.35, 939.2249999999999, 874.4000000000001, 684.6, 1103.825, 914.0250000000001, 849.1999999999999
4630.05, 309.625, 228.125, 187.95, "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "mara_tos_crew", "bashir_changeling_crew", 254.1, 187.95, 321.825, 228.125, 323.4, 187.95, 321.825, 228.125, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 399, 261, 214, 272, 0, 504, 398, 504, 0, 0, 0, 0, 0, 0, 0, 2552, 0, 505.35, 654.125, 742.8499999999999, 707.425, 815.8, 561.025, 649.75, 614.325, 722.7, 798.525, 763.0999999999999, 871.475, 851.825, 960.2, 924.775
4624.075, 308.5625, 228.125, 187.95, "tpol_mirror_crew", "seven_drone_crew", "selar_crew", "lefler_crew", "bashir_changeling_crew", 251.25, 200.10000000000002, 321.825, 228.125, 308.125, 187.95, 321.825, 228.125, 316.875, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 469, 0, 214, 272, 210, 504, 398, 504, 0, 0, 0, 0, 0, 0, 0, 2571, 210, 354.925, 676.25, 668.55, 633.125, 596.075, 581.325, 573.625, 538.2, 501.15, 894.95, 859.5250000000001, 822.475, 851.825, 814.7750000000001, 779.35
4786.725, 312.6925, 221.55, 187.95, "seven_drone_crew", "selar_crew", "mara_tos_crew", "duras_sisters_crew", "bashir_changeling_crew", 288.225, 187.95, 403.20000000000005, 228.125, 323.4, 187.95, 458.32500000000005, 228.125, 221.55, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 272, 261, 0, 272, 0, 504, 0, 504, 495, 0, 0, 0, 0, 0, 0, 2308, 495, 542.325, 649.425, 1024.8000000000002, 702.725, 624.225, 602.7, 978.075, 656.0, 577.5, 1085.175, 763.0999999999999, 684.6, 1138.475, 1059.9750000000001, 737.9
4670.7, 307.15375, 226.8, 187.95, "troi_lwaxana_tng_crew", "seven_drone_crew", "selar_crew", "mara_tos_crew", "bashir_changeling_crew", 345.975, 187.95, 321.825, 228.125, 323.4, 226.8, 321.825, 228.125, 226.8, 488.775, 347.025, 372.225, 501.9, 321.825, 228.125, 0, 261, 214, 272, 0, 271, 398, 504, 397, 0, 0, 0, 0, 0, 0, 2317, 397, 600.075, 652.05, 740.7749999999999, 705.3499999999999, 626.8499999999999, 657.825, 746.55, 711.125, 632.625, 798.525, 763.0999999999999, 684.6, 851.825, 773.325, 737.9
