all_sum, slot5.cmd_dip, slot5.cmd_eng, slot5.cmd_sec, slot5.cmd_med, slot5.cmd_sci, slot5.dip_eng, slot5.dip_sec, slot5.dip_med, slot5.dip_sci, slot5.eng_sec, slot5.eng_med, slot5.eng_sci, slot5.sec_med, slot5.sec_sci, slot5.med_sci, c5.symbol, c4.symbol, c3.symbol, c2.symbol, c1.symbol
4163.775000000001, 286.125, 116.025, 396.9, 294.0, 256.20000000000005, 228.89999999999998, 450.975, 339.15, 264.07500000000005, 343.875, 210.52499999999998, 155.925, 361.20000000000005, 280.875, 179.025, "troi_casualblue_crew", "tpol_mirror_crew", "duras_sisters_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew"
4136.3, 332.5, 141.25, 396.9, 294.0, 256.20000000000005, 191.25, 450.975, 277.725, 264.07500000000005, 343.875, 210.52499999999998, 155.925, 361.20000000000005, 280.875, 179.025, "troi_lwaxana_tng_crew", "troi_casualblue_crew", "tpol_mirror_crew", "duras_sisters_crew", "bashir_changeling_crew"
4118.625, 286.125, 116.025, 396.9, 294.0, 256.20000000000005, 170.10000000000002, 450.975, 277.725, 264.07500000000005, 343.875, 210.52499999999998, 231.0, 361.20000000000005, 280.875, 179.025, "troi_casualblue_crew", "tpol_mirror_crew", "seven_drone_crew", "duras_sisters_crew", "bashir_changeling_crew"
4077.15, 286.125, 116.025, 396.9, 294.0, 129.675, 228.89999999999998, 450.975, 339.15, 228.89999999999998, 343.875, 210.52499999999998, 231.0, 361.20000000000005, 280.875, 179.025, "troi_casualblue_crew", "seven_drone_crew", "duras_sisters_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew"
4070.3250000000003, 286.125, 142.8, 396.9, 294.0, 256.20000000000005, 170.10000000000002, 450.975, 277.725, 264.07500000000005, 343.875, 210.52499999999998, 155.925, 361.20000000000005, 280.875, 179.025, "troi_casualblue_crew", "tpol_mirror_crew", "riker_s2_commander_crew", "duras_sisters_crew", "bashir_changeling_crew"
4064.0250000000005, 286.125, 116.025, 396.9, 294.0, 256.20000000000005, 228.89999999999998, 450.975, 339.15, 264.07500000000005, 280.875, 179.025, 231.0, 280.875, 280.875, 179.025, "troi_casualblue_crew", "tpol_mirror_crew", "seven_drone_crew", "duras_sisters_crew", "dax_ezri_sniper_crew"
4062.725, 286.125, 116.025, 396.9, 294.0, 138.75, 228.89999999999998, 450.975, 339.15, 228.89999999999998, 343.875, 210.52499999999998, 207.5, 361.20000000000005, 280.875, 179.025, "troi_casualblue_crew", "seven_allblue_crew", "duras_sisters_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew"
4060.55, 332.5, 141.25, 396.9, 294.0, 256.20000000000005, 228.89999999999998, 450.975, 339.15, 264.07500000000005, 280.875, 179.025, 155.925, 280.875, 280.875, 179.025, "troi_lwaxana_tng_crew", "troi_casualblue_crew", "tpol_mirror_crew", "duras_sisters_crew", "dax_ezri_sniper_crew"
4059.5250000000005, 332.5, 141.25, 396.9, 141.25, 256.20000000000005, 228.89999999999998, 450.975, 339.15, 264.07500000000005, 343.875, 210.52499999999998, 155.925, 361.20000000000005, 280.875, 155.925, "troi_lwaxana_tng_crew", "tpol_mirror_crew", "duras_sisters_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew"
4048.2750000000005, 286.125, 116.025, 396.9, 294.0, 256.20000000000005, 170.10000000000002, 450.975, 277.725, 264.07500000000005, 343.875, 210.52499999999998, 155.925, 361.20000000000005, 280.875, 183.75, "troi_casualblue_crew", "tpol_mirror_crew", "duras_sisters_crew", "bashir_racquetball_crew", "bashir_changeling_crew"
4044.0750000000003, 286.125, 129.15, 396.9, 294.0, 217.875, 228.89999999999998, 450.975, 339.15, 228.89999999999998, 343.875, 210.52499999999998, 96.6, 361.20000000000005, 280.875, 179.025, "troi_casualblue_crew", "janeway_assimilated_crew", "duras_sisters_crew", "dax_ezri_sniper_crew", "bashir_changeling_crew"
4037.7750000000005, 286.125, 116.025, 396.9, 163.275, 256.20000000000005, 228.89999999999998, 450.975, 339.15, 264.07500000000005, 343.875, 210.52499999999998, 155.925, 361.20000000000005, 280.875, 183.75, "tpol_mirror_crew", "duras_sisters_crew", "dax_ezri_sniper_crew", "bashir_racquetball_crew", "bashir_changeling_crew"
