owner_id,crew_id,symbol,name,short_name,traits,max_rarity,rarity,level,cmd_core,cmd_rmin,cmd_rmax,dip_core,dip_rmin,dip_rmax,eng_core,eng_rmin,eng_rmax,sec_core,sec_rmin,sec_rmax,med_core,med_rmin,med_rmax,sci_core,sci_rmin,sci_rmax
4639468,173633314,seven_allblue_crew,Seven in Blue,Seven,human;borg;civilian;federation,2,2,100,0,0,0,0,0,0,292,54,133,0,0,0,0,0,0,303,52,211
4639468,173633316,crusher_labcoat_crew,CMO Crusher,Crusher,human;starfleet;federation;doctor;caregiver;cyberneticist,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,302,53,177,0,0,0
4639468,173633318,data_tng_crew,Lt Commander Data,Data,android;federation;starfleet;cyberneticist;musician,2,2,90,0,0,0,0,0,0,376,23,62,104,10,28,0,0,0,168,38,120
4639468,173634668,picard_captain_crew,Enterprise-D Picard,Picard,federation;starfleet;human;diplomat;inspiring;astrophysicist;exoarchaeology;tactician,2,2,86,220,26,70,280,39,94,0,0,0,0,0,0,0,0,0,128,23,72
4639468,173646145,hugh_drone_crew,Hugh,Hugh,borg;maverick;cultural_figure,3,3,61,0,0,0,200,16,41,119,20,51,237,46,115,0,0,0,0,0,0
4639468,173649046,spock_commander_crew,Commander Spock,Spock,federation;starfleet;exobiology;astrophysicist;human;vulcan;telepath;musician,1,1,56,78,6,32,0,0,0,0,0,0,0,0,0,0,0,0,127,6,36
4639468,173661084,sato_ensign_crew,Ensign Sato,Sato,human;starfleet;prodigy;communicator,2,2,100,0,0,0,396,28,101,0,0,0,0,0,0,0,0,0,0,0,0
4639468,173741195,riker_s2_commander_crew,Commander Riker,Riker,human;federation;starfleet;pilot;maverick;gambler;romantic,2,2,100,293,79,193,307,22,65,0,0,0,129,29,90,0,0,0,0,0,0
4639468,173741197,odo_occupation_crew,Investigator Odo,Odo,changeling;cardassian;investigator;interrogator,1,1,55,0,0,0,0,0,0,0,0,0,126,17,86,0,0,0,0,0,0
4639468,174300588,nog_cadet_crew,Cadet Nog,Nog,ferengi;starfleet;gambler;merchant,2,2,47,0,0,0,121,8,19,71,5,13,154,13,39,0,0,0,0,0,0
4639468,174573335,yates_captain_crew,Captain Kasidy Yates,Yates,federation;civilian;human;bajoran;smuggler,3,1,46,172,14,51,56,8,24,0,0,0,100,8,18,0,0,0,0,0,0
4639468,174573643,vash_explorer_crew,Expedition Vash,Vash,human;federation;scoundrel;explorer;exoarchaeology;smuggler;civilian,3,3,51,0,0,0,89,8,29,0,0,0,204,16,51,0,0,0,112,14,51
4639468,174586552,archer_away_team_crew,Away Team Archer,Archer,human;starfleet;pilot;explorer,2,2,47,166,10,38,0,0,0,71,8,20,121,5,18,0,0,0,0,0,0
4639468,174626707,worf_security_chief_crew,Security Chief Worf,Worf,klingon;federation;starfleet;duelist;investigator,2,2,100,215,58,145,0,0,0,0,0,0,339,62,146,0,0,0,0,0,0
4639468,175626168,jake_writer_crew,Writer Jake Sisko,Jake,human;federation;civilian;writer;gambler;romantic,3,3,45,0,0,0,193,17,54,0,0,0,0,0,0,0,0,0,0,0,0
4639468,176913845,fox_ambassador_crew,Ambassador Fox,Fox,federation;civilian;human;communicator;diplomat;veteran,3,3,63,215,26,73,289,31,73,0,0,0,0,0,0,0,0,0,0,0,0
4639468,176914220,eddington_maquis_crew,Maquis Eddington,Eddington,human;maquis;desperate,4,1,30,128,20,58,0,0,0,0,0,0,145,17,44,0,0,0,0,0,0
4639468,177708964,selar_crew,Doctor Selar,Selar,vulcan;doctor;starfleet;federation;telepath,3,3,80,0,0,0,0,0,0,0,0,0,0,0,0,326,87,274,0,0,0
